step 132 accepted True metropolis_acceptance 0.898138 min_1_r na mover PathSimulatorMover cv [0.508265,1.39413]
step 133 accepted False metropolis_acceptance 0.864188 min_1_r na mover PathSimulatorMover cv [0.508265,1.39413]
step 134 accepted True metropolis_acceptance 0.845457 min_1_r na mover PathSimulatorMover cv [0.15072,1.39698]
step 135 accepted True metropolis_acceptance 1 min_1_r na mover PathSimulatorMover cv [0.150671,1.39713]
step 136 accepted True metropolis_acceptance 1.00096 min_1_r na mover PathSimulatorMover cv [0.142273,1.40044]
step 137 accepted True metropolis_acceptance 1.01452 min_1_r na mover PathSimulatorMover cv [0.0790622,1.40414]
step 138 accepted True metropolis_acceptance 1.00193 min_1_r na mover PathSimulatorMover cv [0.0731693,1.39467]
step 139 accepted True metropolis_acceptance 0.985947 min_1_r na mover PathSimulatorMover cv [0.230899,1.3959]
step 140 accepted True metropolis_acceptance 1.01824 min_1_r na mover PathSimulatorMover cv [0.0637799,1.38348]
step 141 accepted True metropolis_acceptance 0.996725 min_1_r na mover PathSimulatorMover cv [0.072309,1.3891]
step 142 accepted True metropolis_acceptance 0.99997 min_1_r na mover PathSimulatorMover cv [0.0742481,1.37707]
step 143 accepted True metropolis_acceptance 0.999532 min_1_r na mover PathSimulatorMover cv [0.0750793,1.3799]
step 144 accepted True metropolis_acceptance 1.00195 min_1_r na mover PathSimulatorMover cv [0.0679531,1.39098]
step 145 accepted True metropolis_acceptance 1.00113 min_1_r na mover PathSimulatorMover cv [0.0646225,1.39415]
step 146 accepted True metropolis_acceptance 1.00005 min_1_r na mover PathSimulatorMover cv [0.0644801,1.39412]
step 147 accepted True metropolis_acceptance 0.995235 min_1_r na mover PathSimulatorMover cv [0.0789154,1.39306]
step 148 accepted True metropolis_acceptance 0.994447 min_1_r na mover PathSimulatorMover cv [0.100132,1.38557]
step 149 accepted True metropolis_acceptance 0.995803 min_1_r na mover PathSimulatorMover cv [0.119601,1.3928]
step 150 accepted True metropolis_acceptance 1.0024 min_1_r na mover PathSimulatorMover cv [0.108492,1.38396]
step 151 accepted True metropolis_acceptance 0.995086 min_1_r na mover PathSimulatorMover cv [0.137237,1.39951]
step 152 accepted True metropolis_acceptance 1.01333 min_1_r na mover PathSimulatorMover cv [0.0763689,1.38344]
step 153 accepted True metropolis_acceptance 1.00411 min_1_r na mover PathSimulatorMover cv [0.0632429,1.40441]
step 154 accepted True metropolis_acceptance 1.00767 min_1_r na mover PathSimulatorMover cv [0.0430427,1.39208]
step 155 accepted True metropolis_acceptance 0.974421 min_1_r na mover PathSimulatorMover cv [0.156696,1.39753]
step 156 accepted True metropolis_acceptance 1.24086 min_1_r na mover PathSimulatorMover cv [0.535913,1.40735]
step 157 accepted True metropolis_acceptance 1.03043 min_1_r na mover PathSimulatorMover cv [0.560663,1.38668]
step 158 accepted False metropolis_acceptance 0.795859 min_1_r na mover PathSimulatorMover cv [0.560663,1.38668]
step 159 accepted True metropolis_acceptance 0.999656 min_1_r na mover PathSimulatorMover cv [0.560447,1.38909]
step 160 accepted True metropolis_acceptance 1.00054 min_1_r na mover PathSimulatorMover cv [0.560819,1.38637]
step 161 accepted True metropolis_acceptance 0.960638 min_1_r na mover PathSimulatorMover cv [0.526353,1.39703]
step 162 accepted True metropolis_acceptance 0.993716 min_1_r na mover PathSimulatorMover cv [0.520461,1.40446]
step 163 accepted True metropolis_acceptance 0.852067 min_1_r na mover PathSimulatorMover cv [0.0716123,1.39219]
step 164 accepted True metropolis_acceptance 0.992517 min_1_r na mover PathSimulatorMover cv [0.113353,1.44762]
step 165 accepted True metropolis_acceptance 0.997191 min_1_r na mover PathSimulatorMover cv [0.105917,1.39868]
step 166 accepted True metropolis_acceptance 0.998571 min_1_r na mover PathSimulatorMover cv [0.112587,1.38865]
step 167 accepted True metropolis_acceptance 1.00167 min_1_r na mover PathSimulatorMover cv [0.11582,1.43446]
step 168 accepted True metropolis_acceptance 1.00961 min_1_r na mover PathSimulatorMover cv [0.0726847,1.39723]
step 169 accepted True metropolis_acceptance 0.999908 min_1_r na mover PathSimulatorMover cv [0.0729553,1.39809]
step 170 accepted True metropolis_acceptance 0.999635 min_1_r na mover PathSimulatorMover cv [0.074043,1.39932]
step 171 accepted True metropolis_acceptance 0.999041 min_1_r na mover PathSimulatorMover cv [0.0769079,1.39681]
step 172 accepted True metropolis_acceptance 1.00423 min_1_r na mover PathSimulatorMover cv [0.0647809,1.40116]
step 173 accepted True metropolis_acceptance 0.995563 min_1_r na mover PathSimulatorMover cv [0.0781277,1.40626]
step 174 accepted True metropolis_acceptance 0.997434 min_1_r na mover PathSimulatorMover cv [0.0861422,1.40081]
step 175 accepted True metropolis_acceptance 1.00454 min_1_r na mover PathSimulatorMover cv [0.0731182,1.41397]
step 176 accepted True metropolis_acceptance 1.0001 min_1_r na mover PathSimulatorMover cv [0.0714104,1.40015]
step 177 accepted True metropolis_acceptance 0.992575 min_1_r na mover PathSimulatorMover cv [0.0967108,1.39574]
step 178 accepted True metropolis_acceptance 1.14738 min_1_r na mover PathSimulatorMover cv [0.478432,1.38693]
step 179 accepted True metropolis_acceptance 0.996166 min_1_r na mover PathSimulatorMover cv [0.474504,1.38915]
step 180 accepted True metropolis_acceptance 0.999916 min_1_r na mover PathSimulatorMover cv [0.474353,1.38737]
step 181 accepted True metropolis_acceptance 0.88499 min_1_r na mover PathSimulatorMover cv [0.0784766,1.39753]
